Hour,Load,Bus,P_kW,Q_kVAR,S_kVA
0,s1a,x1,28.000104273468956,13.999906820762199,31.305003279270846
0,s2b,x2,14.000019415907577,7.000683583249416,15.652798927941515
0,s4c,x4,27.999842756611667,14.000205766946683,31.304903065044396
0,s5c,x5,14.095560535175935,7.047904589269923,15.759371367547036
0,s6c,x6,28.35237869304646,14.176419495779154,31.699025967278903
0,s7a,x7,14.000092169753614,6.999924377052826,15.652524462400782
0,s9a,x9,28.000238613373064,13.999810342085937,31.305080290908126
0,s10a,x10,13.826550321096631,6.913119931682889,15.458483786311275
0,s11a,x11,27.30737767925496,13.65338038074864,30.530438443279582
0,s12b,x12,14.000079703703038,7.000890140849172,15.652945233222944
0,s16c,x16,27.999611508347225,14.00019663073621,31.30469214539009
0,s17c,x17,13.99980399740856,7.000096488140103,15.652343684225952
0,s19a,x19,28.000491354037745,13.999569653071433,31.305198714250977
0,s20a,x20,27.334392973912934,13.666536058034563,30.560485059597134
0,s22b,x22,28.98426351525699,14.494437936996093,32.4064231693547
0,s24c,x24,27.99939218256712,14.000211856173465,31.304502784918032
0,s28a,x28,27.369183613881155,13.68395171913205,30.59939127404135
0,s29a,x29,26.773374527141154,13.386067359632795,29.93326549054074
0,s30c,x30,27.99940474758727,14.000200496191008,31.30450894284655
0,s31c,x31,13.99970005763786,7.000096611313797,15.65225077334095
0,s32c,x32,13.999701663339387,7.000098113920093,15.652252881518853
0,s33a,x33,27.678029103447372,13.838361937674259,30.944685426892796
0,s34c,x34,28.19981954099028,14.100239603342343,31.52850423055431
0,s52a,x52,23.530421273503098,11.76431590925031,26.30741063124927
0,s53a,x53,23.540462074867474,11.769335842285864,26.318636379318527
0,s55a,x55,10.753263924727559,5.376219949692884,12.02233030582353
0,s56b,x56,15.200182099954931,7.601736296198228,16.995056063124
0,s58b,x58,15.93707010959523,7.970253407487574,17.818954600585325
0,s59b,x59,14.991222377913234,7.497248457128433,16.761428423972735
0,s60a,x60,11.84768844161213,5.923393303326006,13.245916715554156
0,s62c,x62,23.05590121593698,11.528412192540017,25.777487630879577
0,s63a,x63,23.65398529100496,11.826094197358964,26.44555773871836
0,s64b,x64,58.876000892770335,27.481673366023063,64.97403983224588
0,s65a,x65,20.787445581203272,14.84901579813341,25.546255380479995
0,s65b,x65,25.223254119804498,18.018435804997573,30.9980092465799
0,s65c,x65,42.91541644289306,30.654495302208876,52.73927427164771
0,s66c,x66,47.06603805545021,21.965003727799424,51.93913098040176
0,s68a,x68,14.000377100211175,6.999648102834798,15.652655765448758
0,s69a,x69,28.000749414305226,13.999291742117062,31.305305253960093
0,s70a,x70,14.000372924201297,6.99964420040051,15.65265028514051
0,s71a,x71,28.000743799598165,13.999286478558927,31.305297878146725
0,s73c,x73,27.998937379171636,14.000084071860968,31.3040388509526
0,s74c,x74,27.95957123327073,13.980360605403575,31.260008096695376
0,s75c,x75,27.99895353419942,14.000119074243301,31.30406895442267
0,s76a,x76,72.40140286205929,55.16541964034806,91.02300072228945
0,s76b,x76,48.92331532846485,34.94852520195502,60.12395692667017
0,s76c,x76,49.425735862803464,35.30480506608964,60.73987673953747
0,s77b,x77,28.000727033224432,14.003812270459731,31.30730701442435
0,s79a,x79,26.351744039744947,13.174829340831517,29.461679213790045
0,s80b,x80,28.000754963478613,14.003858743625326,31.307352782312716
0,s82a,x82,28.000768422468294,13.999239144513082,31.30529873478234
0,s83c,x83,13.999437777797839,7.000050608445501,15.651995611270518
0,s84c,x84,13.999452276535372,7.00005951506724,15.6520125625261
0,s85c,x85,27.998914472901784,14.000129493335008,31.304038676998495
0,s86b,x86,14.000367691787591,7.001915116944518,15.653661258956193
0,s87b,x87,28.00076102669726,14.003877340215313,31.30736652345585
0,s88a,x88,28.000777610244082,13.99925800705391,31.3053153877486
0,s90b,x90,28.37996033540018,14.193298259370378,31.73124428884461
0,s92c,x92,27.998871123470007,14.000081567919104,31.303978470748266
0,s94a,x94,28.00077646370175,13.999250868478036,31.30531116997205
0,s95b,x95,14.000389062246073,7.001954924779375,15.653698178478518
0,s96b,x96,14.000393661345303,7.001959764682756,15.653704456737195
0,s98a,x98,28.000764632397434,13.99930627278795,31.30532536355818
0,s99b,x99,28.000712853582815,14.003799930524018,31.307288812718074
0,s100c,x100,27.93544416559792,13.968272368269183,31.233022166985236
0,add44,44,580.001410733407,174.0138082931658,605.5430966739139
0,add108,108,540.0016138013152,162.01518595070536,563.7824610491767
1,s1a,x1,26.400158577911707,13.200879839587683,29.516632624303835
1,s2b,x2,13.199995105432713,6.600066160196496,14.758073861531473
1,s4c,x4,26.400114697051453,13.200586908231282,29.51646236829948
1,s5c,x5,13.32136035084918,6.6609278262404645,14.893844403093551
1,s6c,x6,26.857941874082403,13.4294433581243,30.02830315919729
1,s7a,x7,13.200094755766088,6.6005048734906175,14.758359195594094
1,s9a,x9,26.400216759275786,13.20110347626215,29.516784681393172
1,s10a,x10,13.078177041247127,6.539551573004633,14.622053532188659
1,s11a,x11,25.910083861102656,12.955914351089076,28.968744576907852
1,s12b,x12,13.199973550746028,6.600051145029357,14.758047867431452
1,s16c,x16,26.400258096280723,13.200766376289083,29.516670890728857
1,s17c,x17,13.200126809338716,6.600380792929791,14.758332371724768
1,s19a,x19,26.400291469946577,13.201537218723214,29.517045492993844
1,s20a,x20,25.8739405084268,12.938254457203628,28.928519247153986
1,s22b,x22,27.442733689328104,13.721460041037805,30.681950687679247
1,s24c,x24,26.4004206772242,13.200936326379734,29.516892313174488
1,s28a,x28,25.905688069394273,12.95411243928691,28.964007033531196
1,s29a,x29,25.437433828919513,12.71990377692677,28.440446408151452
1,s30c,x30,26.40040177375977,13.20092833095312,29.516871829767105
1,s31c,x31,13.200211046379303,6.600468865876144,14.758447103891198
1,s32c,x32,13.20021323206007,6.600471139229026,14.758450075521111
1,s33a,x33,26.199569090457906,13.10108135662188,29.292588708383267
1,s34c,x34,26.734259160549176,13.367680019906611,29.890056573683793
1,s52a,x52,22.42257373541108,11.212635045126767,25.069802503712545
1,s53a,x53,22.431608456678987,11.217153370998348,25.07990406086618
1,s55a,x55,10.239151057158594,5.1202031816806715,11.447999606612713
1,s56b,x56,14.397508858593266,7.198811507130135,16.096929783299075
1,s58b,x58,15.09668735210449,7.5484022358165905,16.878635765987504
1,s59b,x59,14.210710642523756,7.105413400208689,15.888083476410966
1,s60a,x60,11.285454376294425,5.6434087410887495,12.617826385650575
1,s62c,x62,21.90191830978335,10.95150623041925,24.487333753664053
1,s63a,x63,22.533666107942306,11.268192163032463,25.194012441198286
1,s64b,x64,55.81836736567532,26.04878668952613,61.5973166896572
1,s65a,x65,19.766008208280198,14.119302744604365,24.29094050224471
1,s65b,x65,23.94016307172404,17.10049831676864,29.420374752585097
1,s65c,x65,40.750394801639175,29.109408145717637,50.07946005183596
1,s66c,x66,44.75984683274107,20.88898457143424,49.39426651865638
1,s68a,x68,13.200215370994231,6.601020433215508,14.758697659358734
1,s69a,x69,26.40046518185936,13.20207492267343,29.517441353925836
1,s70a,x70,13.200244951788358,6.6010496829272,14.758737198815057
1,s71a,x71,26.4005039181136,13.202113225608853,29.5174931312286
1,s73c,x73,26.400574280616592,13.201091820651051,29.517099241009685
1,s74c,x74,26.56276751045669,13.282061728855446,29.698380117166323
1,s75c,x75,26.400599814235445,13.201122899289459,29.51713597816619
1,s76a,x76,68.55323646072927,52.234069717194544,86.18552238317872
1,s76b,x76,46.2788555798398,33.05711949555954,56.87271422328437
1,s76c,x76,46.74364755949816,33.3907008181121,57.444821248666535
1,s77b,x77,26.39984781146029,13.20007281237887,29.51599374441539
1,s79a,x79,25.085373894514937,12.544237604986881,28.04699414407859
1,s80b,x80,26.399846978144264,13.200068323989756,29.515990991790034
1,s82a,x82,26.400396615530422,13.202041559244051,29.517365105803687
1,s83c,x83,13.200296257685638,6.600553178088269,14.758561025636633
1,s84c,x84,13.200309844045261,6.600570502621656,14.758580925647198
1,s85c,x85,26.40063601748203,13.201158277136253,29.51718418117779
1,s86b,x86,13.199923419189382,6.6000434349264925,14.757999580409962
1,s87b,x87,26.39984577970523,13.200094057903058,29.516001428542243
1,s88a,x88,26.40043215837507,13.20204176102199,29.51739698565463
1,s90b,x90,26.83677603173934,13.418530237484719,30.004491355662587
1,s92c,x92,26.40055105632465,13.201055971368914,29.517062435764498
1,s94a,x94,26.400441582032308,13.202049697359788,29.51740896382774
1,s95b,x95,13.199924400260622,6.600051089989911,14.758003881388321
