Hour,Line,P_Loss_kW,Q_Loss_kVAR,S_Loss_kVA
0,l115,5.819948583180085,12.485466776081953,13.775292451614455
0,l1,0.001842251449936157,0.0009518867241567932,0.0020736390091859827
0,l2,0.06783319781009049,0.06747908141262451,0.09568055786540165
0,l3,3.9210049120899058,8.41884751276796,9.287156344321572
0,l4,0.008564426445242133,0.007653050386817995,0.011485581420160578
0,l5,0.03203697906472371,0.03080668118337053,0.04444569307736557
0,l6,0.01099809701218328,0.009865440999499696,0.014774473391766097
0,l7,2.557339503717143,5.480572369053072,6.047863989021269
0,l8,0.0023656394247918797,0.0012190769097132942,0.0026612775879125746
0,l9,0.06102699844975723,0.06074863608911255,0.08610860193078332
0,l10,3.412988525715307,7.264249822435249,8.026071028804498
0,l11,0.04085434154020186,0.03930996932219932,0.05669524592764119
0,l12,0.04071591793792322,0.04051058178757375,0.05743599228963839
0,l13,8.896437629042367,17.767895109087622,19.870699511969395
0,l14,0.010592798716712423,0.00950158609056598,0.014229811063019116
0,l15,0.0027148768353927153,0.0015150684952159282,0.003109017332944257
0,l16,0.01621012756188429,0.014520811944574235,0.02176286321011669
0,l17,0.003779465594989233,0.002045684972370509,0.004297579224387824
0,l18,0.04447663660370017,0.04387557266035583,0.06247589198924467
0,l20,0.014115313279362454,0.012736569934506406,0.019012161441327984
0,l21,0.005959474339759254,0.003292296472673115,0.006808417618670643
0,l22,0.024054103000915348,0.050337566954216525,0.05578951978686388
0,l23,0.006020044262955707,0.0033211174491543714,0.006875373010900831
0,l24,0.025292677360766902,0.05261611294254908,0.05837957578861747
0,l25,0.008809981900027197,0.01584237103090527,0.01812723092365939
0,l26,0.01767395608618972,0.03474479073005568,0.03898165217909479
0,l27,0.0041123493666036,0.006257578315410173,0.007487903824602494
0,l28,0.010065934215501329,0.00909574523839001,0.01356670973642817
0,l29,0.02171930734057969,0.019537136177634237,0.029213490058156065
0,l30,0.005724477289370043,0.005980829354686194,0.008278886398930079
0,l31,0.011905298191346446,0.01758599477742837,0.021236839155971746
