Hour,Bus,Phase,Node,kVBase,Voltage_Real_V,Voltage_Imag_V,Voltage_V,Voltage_Angle_Deg,Voltage_pu
0,77,1,77.1,2.4017771198288433,1922.3584912518465,-1370.739888174244,2361.014614507927,-35.490811298657896,0.9830281898414366
0,77,2,77.2,2.4017771198288433,-2223.3818734948936,-1076.0677132680307,2470.0908240231884,-154.1740433110623,1.0284429823360184
0,77,3,77.3,2.4017771198288433,158.04301579158314,2435.8375307042265,2440.9592521850427,86.28771499215244,1.0163138086514005
0,771,1,771.1,2.4017771198288433,1926.5048874055128,-1368.695107162157,2363.2070111539015,-35.392081995621396,0.9839410125292182
0,771,2,771.2,2.4017771198288433,-2223.5701480820494,-1080.483434216308,2472.187018624905,-154.0838262670235,1.029315750497731
0,771,3,771.3,2.4017771198288433,154.24994607923293,2438.205661497524,2443.080001478467,86.38008036953872,1.0171968003644596
0,149,1,149.1,2.4017771198288433,2063.808160502837,-1307.3188625562384,2443.0281888986547,-32.352205853673226,1.0171752277633284
0,149,2,149.2,2.4017771198288433,-2173.811787766005,-1175.7960541388943,2471.4275327346804,-151.5914266219775,1.0289995321925627
0,149,3,149.3,2.4017771198288433,82.96062027266348,2461.6545321390204,2463.0520701188198,88.06979613754784,1.0255123382532443
0,1,1,1.1,2.4017771198288433,2041.2473718200895,-1315.1491402893157,2428.2314745851863,-32.79315690773174,1.0110144919517878
0,1,2,1.2,2.4017771198288433,-2180.0050383442926,-1167.3072248639928,2472.8582904052905,-151.8326964132333,1.0295952401201627
0,1,3,1.3,2.4017771198288433,92.99495628278491,2453.605490955101,2455.367175625482,87.82945164692912,1.0223126681298629
0,2,1,2.1,2.4017771198288433,-2179.7248093832063,-1167.0140216742736,2472.4728454373403,-151.8356208718492,1.0294347568826598
0,3,1,3.1,2.4017771198288433,93.80210202275579,2450.776318999802,2452.5707737217504,87.80810577949505,1.0211483627991789
0,7,1,7.1,2.4017771198288433,2024.6579899915678,-1320.4986280062346,2417.220842828194,-33.11272189616974,1.0064301232915613
0,7,2,7.2,2.4017771198288433,-2184.974603590918,-1160.5968113999866,2474.0854829550867,-152.02402173219724,1.0301061920064407
0,7,3,7.3,2.4017771198288433,99.46580683556033,2449.183163567062,2451.2020756008287,87.67439161932575,1.0205784938843565
0,4,1,4.1,2.4017771198288433,94.05873381406188,2449.87725970162,2451.6822047340934,87.80130909007555,1.0207783996663298
0,5,1,5.1,2.4017771198288433,94.43429574028802,2448.5593019440917,2450.3796626949265,87.79135171791147,1.0202360753896875
0,6,1,6.1,2.4017771198288433,94.75908640495332,2447.419983372837,2449.2537352158924,87.78273234115574,1.0197672860629268
0,8,1,8.1,2.4017771198288433,2013.8898648570257,-1324.0311005689105,2410.1474525529698,-33.32290387793166,1.003485058065972
0,8,2,8.2,2.4017771198288433,-2188.159029693625,-1156.0950486615204,2474.7920520256707,-152.15065093518223,1.030400377950986
0,8,3,8.3,2.4017771198288433,103.88254420894528,2446.249161008619,2448.4539082299866,87.5683354691371,1.0194342714050293
0,12,1,12.1,2.4017771198288433,-2187.7969118905585,-1155.7203542514426,2474.2968425209096,-152.1544053770735,1.0301941933301597
0,9,1,9.1,2.4017771198288433,2011.3353770372491,-1323.3356273476556,2407.6310310197423,-33.34247016148058,1.0024373249052003
0,13,1,13.1,2.4017771198288433,1999.8528512801129,-1329.2718940431762,2401.327798337064,-33.611384284104886,0.9998129212373331
0,13,2,13.2,2.4017771198288433,-2192.1448954683688,-1149.523405464373,2475.2582294456543,-152.32824958825995,1.0305944748203977
0,13,3,13.3,2.4017771198288433,111.21719239388821,2441.794749117119,2444.3262590537934,87.39213352754071,1.0177156901336384
0,9r,1,9r.1,2.4017771198288433,2011.3304616410223,-1323.3383870382474,2407.6284415445166,-33.34258931975935,1.0024362467555235
0,14,1,14.1,2.4017771198288433,2008.4580572043694,-1322.5557848784483,2404.7988630371146,-33.36462834989469,1.0012581280683057
0,34,1,34.1,2.4017771198288433,111.68903722265865,2440.0934263017775,2442.6482288935654,87.37926142867995,1.0170170282360067
0,18,1,18.1,2.4017771198288433,1965.9307277791333,-1342.569906042922,2380.6254596299464,-34.32988066339307,0.9911933292959322
0,18,2,18.2,2.4017771198288433,-2204.1263163825106,-1126.378448455564,2475.2578103533174,-152.93152677427813,1.0305943003277966
0,18,3,18.3,2.4017771198288433,125.32164952091878,2429.211575572845,2432.4420640039402,87.04676130971397,1.0127676060871469
0,11,1,11.1,2.4017771198288433,2007.336296776283,-1322.2500739719287,2403.6938795267365,-33.373247726650426,1.0007980589381373
0,10,1,10.1,2.4017771198288433,2007.8901501866897,-1322.4010581323878,2404.239466809907,-33.36899191045115,1.0010252187685253
0,15,1,15.1,2.4017771198288433,111.87723826929506,2439.4146105606524,2441.978738371721,87.37412206133683,1.016738280255473
0,16,1,16.1,2.4017771198288433,112.34766283744425,2437.7172794844223,2440.304803101852,87.3612628213196,1.016041323299705
0,17,1,17.1,2.4017771198288433,112.09679958813827,2438.622857687503,2441.197889257212,87.36812293833076,1.0164131671931231
0,19,1,19.1,2.4017771198288433,1963.6432307680664,-1341.9041377321482,2378.361085412371,-34.34771374057473,0.9902505381439635
0,20,1,20.1,2.4017771198288433,1962.1739628318953,-1341.4763743199476,2376.906713203952,-34.359183168671066,0.9896449981059594
0,21,1,21.1,2.4017771198288433,1965.9307237232583,-1342.5698997398852,2380.6254527259466,-34.32988059317035,0.9911933264213941
0,21,2,21.2,2.4017771198288433,-2204.1263536198117,-1126.3784474197244,2475.2578430404046,-152.93152718786192,1.030594313937339
0,21,3,21.3,2.4017771198288433,125.32165607519772,2429.21158496081,2432.4420737171195,87.04676116692696,1.0127676101313103
0,22,1,22.1,2.4017771198288433,-2205.0668907642676,-1127.2231462396046,2476.479762518383,-152.92402703146618,1.0311030703360449
0,23,1,23.1,2.4017771198288433,1965.1126556807267,-1343.014564177989,2380.200804367302,-34.349825565765705,0.9910165205241531
0,23,2,23.2,2.4017771198288433,-2205.1054656130846,-1127.7509725412585,2476.7544025487173,-152.9135610051605,1.0312174190106438
0,23,3,23.3,2.4017771198288433,124.5714188382953,2429.147873265609,2432.339908109518,87.06433283402988,1.012725072625745
0,24,1,24.1,2.4017771198288433,124.30269562289055,2430.420527315081,2433.597152310471,87.07218579967116,1.0132485367684305
0,25,1,25.1,2.4017771198288433,1964.3270051148907,-1343.6434659754234,2379.9072138808447,-34.37299816152099,0.990894281668585
0,25,2,25.2,2.4017771198288433,-2206.1012266900957,-1129.3776935391911,2478.3818505362424,-152.89056070613898,1.031895020597439
0,25,3,25.3,2.4017771198288433,123.96840449406614,2428.742297576868,2431.9040510167683,87.0780318619982,1.0125435998782735
0,25r,1,25r.1,2.4017771198288433,1988.8776713820096,-1360.4408489892776,2409.6542688362147,-34.37308019496093,1.0032797168989323
0,25r,2,25r.2,2.4017771198288433,122.42203812668137,2398.3811298050687,2401.5035288802155,87.07795239540532,0.9998860881193475
0,26,1,26.1,2.4017771198288433,1988.0880731361885,-1360.8236961237642,2409.218819135843,-34.391196876714886,1.003098413772686
0,26,2,26.2,2.4017771198288433,122.67183548304922,2397.5140496736735,2400.650328057678,87.07094334595327,0.9995308508179787
0,28,1,28.1,2.4017771198288433,1964.1549038012508,-1343.864182876549,2379.889793277192,-34.37972326104426,0.9908870284544925
0,28,2,28.2,2.4017771198288433,-2206.7271458716414,-1130.3669231722693,2479.3898598906835,-152.87680345694622,1.0323147137263806
0,28,3,28.3,2.4017771198288433,123.43984976850415,2428.965537104083,2432.1001165556895,87.0907355325943,1.0126252334059236
0,27,1,27.1,2.4017771198288433,1987.2903242221337,-1360.8979599432769,2408.6025180848515,-34.40337354222447,1.002841811673389
0,27,2,27.2,2.4017771198288433,122.39021349626974,2397.481597962279,2400.6035443045207,87.0776165259636,0.9995113720109025
0,31,1,31.1,2.4017771198288433,122.95350185294572,2396.476514695753,2399.6285648212734,87.06296090806997,0.9991054311452001
0,33,1,33.1,2.4017771198288433,1985.0304160404305,-1360.2374551326022,2406.364828314955,-34.42080048283363,1.0019101308144858
0,29,1,29.1,2.4017771198288433,1964.1674977290666,-1344.1730125731697,2380.0745885087917,-34.38568784901172,0.9909639694953885
0,29,2,29.2,2.4017771198288433,-2207.096685437436,-1131.2299718029985,2480.1123014844165,-152.86294999541087,1.0326155083287476
0,29,3,29.3,2.4017771198288433,123.30947940374662,2428.783279110147,2431.911479597039,87.0935851575332,1.0125466928298257
0,250,1,250.1,2.4017771198288433,1965.1563810477126,-1344.459099350745,2381.0522614591137,-34.3779301519022,0.991371031808644
0,250,2,250.2,2.4017771198288433,-2207.1464366146506,-1132.1839786793446,2480.591855634244,-152.84386453403195,1.0328151747115557
0,250,3,250.3,2.4017771198288433,123.59642180266852,2428.6565699148355,2431.7995003850374,87.08668181197436,1.0125000693479558
0,32,1,32.1,2.4017771198288433,123.14126481996007,2395.7847077047677,2398.9472976231636,87.05763571032745,0.9988217798469654
0,35,1,35.1,2.4017771198288433,1952.0074765855413,-1347.942152896729,2372.18912319438,-34.62668854800688,0.9876807900324357
0,35,2,35.2,2.4017771198288433,-2204.92321697227,-1113.3564495173223,2470.0706419908647,-153.20891143690963,1.0284345793779934
0,35,3,35.3,2.4017771198288433,134.32752324704546,2427.4888794312565,2431.2026125487982,86.83271096524857,1.0122515501030553
0,42,1,42.1,2.4017771198288433,1945.6549016143765,-1348.6898707296316,2367.390412159507,-34.72894194777067,0.9856828065412718
0,42,2,42.2,2.4017771198288433,-2204.03032615393,-1108.4184321039118,2467.051093762327,-153.30193657883217,1.0271773652078655
0,42,3,42.3,2.4017771198288433,138.5650256647307,2423.598704666871,2427.556579690863,86.72777610527362,1.0107334938155532
0,44,1,44.1,2.4017771198288433,1943.189302551617,-1348.9571062915625,2365.516844194001,-34.768283757112336,0.984902730842308
0,44,2,44.2,2.4017771198288433,-2203.666386869837,-1106.5071811926255,2465.867735027735,-153.33781161269252,1.026684663897314
0,44,3,44.3,2.4017771198288433,140.19408601189332,2422.0752221497137,2426.12917288101,86.68731305828175,1.0101391810468667
0,151,1,151.1,2.4017771198288433,1945.38659927707,-1350.5324323815917,2368.2201906835735,-34.76927683607204,0.9860282917726932
0,151,2,151.2,2.4017771198288433,-2207.297633996426,-1108.0071776386935,2469.785972659389,-153.34451484170197,1.028316054919947
0,151,3,151.3,2.4017771198288433,138.53487089743513,2427.4608536737414,2431.410723545699,86.73368044352253,1.012338198857922
0,52,1,52.1,2.4017771198288433,1734.5651747667773,-1240.5261686009085,2132.5153036959314,-35.571588490380215,0.8878905898845018
0,52,2,52.2,2.4017771198288433,-2380.1158463924316,-1151.361041980379,2643.9711971272504,-154.18501447006446,1.100839530570458
0,52,3,52.3,2.4017771198288433,137.9781629162226,2208.750823235389,2213.056296749982,86.42544243828756,0.9214245062454796
0,53,1,53.1,2.4017771198288433,1735.1230563151112,-1240.4856281187813,2132.945525353505,-35.561985067254966,0.8880697162713851
0,53,2,53.2,2.4017771198288433,-2379.8685730099714,-1151.317982057214,2643.7298501565574,-154.18352088833555,1.1007390437398106
0,53,3,53.3,2.4017771198288433,138.17518908525946,2208.769455532756,2213.087185488456,86.42038152299818,0.9214373670301955
0,54,1,54.1,2.4017771198288433,1735.8204906224123,-1240.4349023268337,2133.4834244903836,-35.54998385254642,0.8882936750777363
0,54,2,54.2,2.4017771198288433,-2379.5594699175017,-1151.2641239302116,2643.4281442707797,-154.18165406859336,1.1006134259698324
0,54,3,54.3,2.4017771198288433,138.42150487782052,2208.7927828769084,2213.125859661343,86.41405478271479,0.9214534693456717
0,55,1,55.1,2.4017771198288433,1735.528524558305,-1240.290319126317,2133.1618164766564,-35.55138373809172,0.888159770890261
0,55,2,55.2,2.4017771198288433,-2379.5449347143053,-1150.93690551149,2643.272565739839,-154.18790165384985,1.1005486495467178
0,55,3,55.3,2.4017771198288433,138.3559847247558,2208.9245217420116,2213.2532438160642,86.41596092619474,0.9215065068043392
0,57,1,57.1,2.4017771198288433,1738.1274452603682,-1240.4452289936357,2135.366802706366,-35.51421994566741,0.8890778353565703
0,57,2,57.2,2.4017771198288433,-2378.924574783845,-1151.6478304096631,2643.023809540463,-154.1681721488541,1.1004450778217136
0,57,3,57.3,2.4017771198288433,139.2694119250992,2208.684419519541,2213.070905806304,86.39197021683903,0.9214305888483162
0,56,1,56.1,2.4017771198288433,1735.586738661301,-1240.1200929526328,2133.1102110209445,-35.5467545789172,0.888138284526982
0,56,2,56.2,2.4017771198288433,-2379.375188649909,-1150.582573283311,2642.9654833739382,-154.19321439149542,1.1004207932342542
0,56,3,56.3,2.4017771198288433,138.4141343175483,2209.068019655939,2213.4000966941085,86.41469082450529,0.9215676502288609
0,58,1,58.1,2.4017771198288433,-2378.060986903467,-1150.817025537122,2641.8845326203036,-154.176228957564,1.099970730343443
0,60,1,60.1,2.4017771198288433,1742.7602805890683,-1241.1904046907694,2139.571689917242,-35.458393960224214,0.890828575329968
0,60,2,60.2,2.4017771198288433,-2378.486288888498,-1154.4940991791236,2643.8709596858157,-154.1085149697729,1.1007977958730095
0,60,3,60.3,2.4017771198288433,140.76515216045456,2207.5072691075816,2211.990771053435,86.351384995995,0.9209808657062513
0,59,1,59.1,2.4017771198288433,-2377.6430362349593,-1150.414040168323,2641.3327831935526,-154.18014829479455,1.0997410048530152
0,61,1,61.1,2.4017771198288433,1742.7603058892319,-1241.1904550605504,2139.5717397452568,-35.45839466588346,0.8908285960762787
0,61,2,61.2,2.4017771198288433,-2378.486354716393,-1154.4940959611226,2643.871017500885,-154.10851565544715,1.1007978199447974
0,61,3,61.3,2.4017771198288433,140.7651763305183,2207.5073203324814,2211.990823712624,86.35138445563922,0.9209808876313453
0,62,1,62.1,2.4017771198288433,1742.044990600817,-1240.5034990013935,2138.5905826763806,-35.45452094416079,0.8904200831211108
0,62,2,62.2,2.4017771198288433,-2376.262383756094,-1154.0909401410254,2641.694307555246,-154.09531898805366,1.0998915285459543
0,62,3,62.3,2.4017771198288433,140.67031297593883,2204.157041214536,2208.641301635095,86.34830954827393,0.9195862860882312
0,63,1,63.1,2.4017771198288433,1741.571191024661,-1239.8117682612153,2137.803413348865,-35.44678511916273,0.8900923385851932
0,63,2,63.2,2.4017771198288433,-2374.693978058901,-1153.576390785434,2640.0587074545815,-154.09049346322902,1.0992105327586428
0,63,3,63.3,2.4017771198288433,140.65754513469037,2202.4799803593523,2206.9668345688956,86.34586732590856,0.9188891077146116
0,64,1,64.1,2.4017771198288433,1741.76830424779,-1239.2719170997925,2137.6509795086795,-35.431933297422,0.8900288714803869
0,64,2,64.2,2.4017771198288433,-2371.150211769504,-1152.8283935507595,2636.544449037677,-154.07146459063523,1.0977473418622474
0,64,3,64.3,2.4017771198288433,140.98142249145596,2198.841621803814,2203.356584682684,86.33143247986615,0.9173859499667899
0,65,1,65.1,2.4017771198288433,1740.9576250217333,-1239.180629034704,2136.9375478698853,-35.4425400959846,0.8897318282481469
0,65,2,65.2,2.4017771198288433,-2369.9441760171467,-1153.380792633072,2635.7015480233126,-154.0492016269177,1.097396392972192
0,65,3,65.3,2.4017771198288433,140.3236079110964,2193.857983349182,2198.3410941075836,86.34023113403688,0.9152977085002137
0,66,1,66.1,2.4017771198288433,1740.8773966263932,-1239.9761523862371,2137.33361190322,-35.46116124563719,0.8898967328223745
0,66,2,66.2,2.4017771198288433,-2369.964586730737,-1154.256370152759,2636.103167631346,-154.03228391744412,1.09756361065643
0,66,3,66.3,2.4017771198288433,140.18753601804082,2191.3391727362387,2195.8187346006393,86.33957918973319,0.9142475030144008
0,67,1,67.1,2.4017771198288433,1919.7700466641768,-1365.5783260645653,2355.9119670917835,-35.4251519288679,0.9809036598948331
0,67,2,67.2,2.4017771198288433,-2216.223520548694,-1078.4546937569758,2464.6929260091815,-154.0516025815544,1.0261955223325725
0,67,3,67.3,2.4017771198288433,154.15116234500312,2429.915508944284,2434.80018922709,86.37008319325093,1.0137494312547202
0,68,1,68.1,2.4017771198288433,1916.9739114969739,-1364.7042777684085,2353.1270138093696,-35.44727304515029,0.9797441212934277
0,97,1,97.1,2.4017771198288433,1922.3076584546927,-1363.2063870909155,2356.6073893542452,-35.34239764623244,0.981193204772549
0,97,2,97.2,2.4017771198288433,-2213.4110636815203,-1081.9718778100014,2463.7068983950708,-153.94943380755583,1.0257849814851432
0,97,3,97.3,2.4017771198288433,152.57303932998227,2427.8907118695024,2432.679970960543,86.40415814983983,1.0128666606391445
0,69,1,69.1,2.4017771198288433,1913.7689545970795,-1363.7020030975875,2349.9350554498246,-35.47268438702241,0.9784151227226642
0,70,1,70.1,2.4017771198288433,1911.49524738649,-1362.9905141897823,2347.6705949839866,-35.49074521332719,0.9774722956605097
0,71,1,71.1,2.4017771198288433,1910.2124256330476,-1362.5889800691295,2346.3930275315606,-35.5009482307466,0.9769403697620246
0,72,1,72.1,2.4017771198288433,1919.7699873485653,-1365.5784016112507,2355.9119625468707,-35.42515426219255,0.9809036580025206
0,72,2,72.2,2.4017771198288433,-2216.2235462577382,-1078.4546042429981,2464.692909958591,-154.05160471418134,1.0261955156497748
0,72,3,72.3,2.4017771198288433,154.15126369814848,2429.9154931622656,2434.8001798935684,86.37008078947814,1.0137494273686305
0,73,1,73.1,2.4017771198288433,154.67262165466514,2428.045540732829,2432.9670708339036,86.35503951764647,1.0129861970736413
0,76,1,76.1,2.4017771198288433,1920.525663025078,-1367.38078494154,2357.5726994867537,-35.45020311185313,0.9815951197231657
0,76,2,76.2,2.4017771198288433,-2218.6927847788083,-1076.77541929077,2466.179834646767,-154.11178524073608,1.0268146091850994
0,76,3,76.3,2.4017771198288433,155.2753065193301,2432.6878978775026,2437.6383713123514,86.34783924930672,1.0149311321135674
0,74,1,74.1,2.4017771198288433,154.923743458659,2427.2620247621985,2432.2011230858216,86.34796235902613,1.0126672883198864
0,75,1,75.1,2.4017771198288433,154.74012471409515,2428.1890998755866,2433.1146316914756,86.35366806470223,1.0130476352713633
0,86,1,86.1,2.4017771198288433,1921.919484742996,-1367.4112107169055,2358.7259113828927,-35.43116810108051,0.9820752691452825
0,86,2,86.2,2.4017771198288433,-2220.5184487484185,-1073.4118903840397,2466.3566789193164,-154.20059961993024,1.0268882397776673
0,86,3,86.3,2.4017771198288433,155.08962754890814,2437.581520025242,2442.510278246916,86.3594982424474,1.0169595913300131
0,78,1,78.1,2.4017771198288433,1922.5717269846316,-1371.7003621290305,2361.7459492641415,-35.50677984647556,0.9833326871864136
0,78,2,78.2,2.4017771198288433,-2224.5712722843095,-1075.960975302364,2471.1150045771333,-154.1882848708236,1.0288694084791812
0,78,3,78.3,2.4017771198288433,158.7756371287474,2436.338852226429,2441.507056269474,86.27132008209477,1.016541891465542
0,79,1,79.1,2.4017771198288433,1921.9374385104238,-1371.747158270479,2361.256822916801,-35.51664327081143,0.9831290353390785
0,79,2,79.2,2.4017771198288433,-2224.7953016631195,-1075.982455671244,2471.3260366075965,-154.19009807486358,1.0289572734308126
0,79,3,79.3,2.4017771198288433,158.49459456296202,2436.289574906269,2441.439622293094,86.27782643066672,1.0165138147652424
0,80,1,80.1,2.4017771198288433,1924.9236205510458,-1376.1637557868494,2366.2539229120603,-35.561682818560506,0.98520961973386
0,80,2,80.2,2.4017771198288433,-2229.7478829190513,-1075.4086193096662,2475.536168159842,-154.25196135891636,1.0307101969296197
0,80,3,80.3,2.4017771198288433,162.84886006219244,2438.8240882947753,2444.2550367894096,86.17983026340532,1.017686036147931
0,81,1,81.1,2.4017771198288433,1925.7200607159914,-1377.9711194883757,2367.9531579801255,-35.58605044024399,0.9859171104722956
0,81,2,81.2,2.4017771198288433,-2231.864559801454,-1075.6556906866863,2477.55011618421,-154.26807957984596,1.0315487210406793
0,81,3,81.3,2.4017771198288433,164.27710775999086,2439.5601950246496,2445.085052361716,86.14758566973723,1.0180316200763704
0,82,1,82.1,2.4017771198288433,1926.5332754334163,-1380.1871409668147,2369.904429600982,-35.618179265254334,0.9867295387383269
0,82,2,82.2,2.4017771198288433,-2235.1497274113317,-1075.6787621261867,2480.5199259905726,-154.30054442285376,1.0327852262025632
0,82,3,82.3,2.4017771198288433,165.70712159267495,2441.488312167469,2447.1052344753966,86.11721251150426,1.0188727398026773
0,84,1,84.1,2.4017771198288433,165.44694341336384,2434.948751237579,2440.563072784285,86.1129104714486,1.016148856042981
0,83,1,83.1,2.4017771198288433,1928.0930195510236,-1382.3494786607039,2372.4318268803645,-35.63869364541999,0.9877818417428467
0,83,2,83.2,2.4017771198288433,-2238.171195321747,-1075.6770484629958,2483.242117103775,-154.33081167287904,1.0339186332496735
0,83,3,83.3,2.4017771198288433,167.4679681600467,2443.473787501404,2449.205926533355,86.07925970855582,1.0197473805179273
0,85,1,85.1,2.4017771198288433,165.99562841147173,2432.7845971864645,2438.441191613902,86.09660053326475,1.0152653930634794
0,87,1,87.1,2.4017771198288433,1921.7315322953325,-1367.5637393056634,2358.661201461934,-35.436833955439816,0.9820483266282503
0,87,2,87.2,2.4017771198288433,-2221.3777353689093,-1071.185969948794,2466.1626924045063,-154.2558478012716,1.0268074718691014
0,87,3,87.3,2.4017771198288433,155.51991698650556,2439.574063227254,2444.5261411060064,86.35239868956575,1.0177989126985312
0,88,1,88.1,2.4017771198288433,1921.1404378524273,-1368.5732579934045,2358.7652160498083,-35.46513807568749,0.982091633972223
0,89,1,89.1,2.4017771198288433,1921.679025036493,-1366.7897843101707,2358.16975422887,-35.422252526913375,0.9818437084607247
0,89,2,89.2,2.4017771198288433,-2222.180976770112,-1070.1373890166399,2466.43109064298,-154.2858936072231,1.0269192217214327
0,89,3,89.3,2.4017771198288433,155.69544747766415,2441.0181464077455,2445.9784674966327,86.35044736397214,1.0184036009431796
0,90,1,90.1,2.4017771198288433,-2223.1432413116904,-1068.7007000832818,2466.6753044834145,-154.3256580315371,1.0270209021972847
0,91,1,91.1,2.4017771198288433,1921.9207597553834,-1366.3436885270867,2358.108242205288,-35.410015566060984,0.9818180974150228
0,91,2,91.2,2.4017771198288433,-2222.0563751486648,-1069.8269565549465,2466.184147891321,-154.29113552727057,1.026816405040559
0,91,3,91.3,2.4017771198288433,156.1541853565767,2442.002477372194,2446.990034531467,86.34119497508752,1.0188247753421207
0,92,1,92.1,2.4017771198288433,158.2074647107418,2442.1586603275146,2447.277778288129,86.29345482330413,1.0189445798628176
0,94,1,94.1,2.4017771198288433,1920.5199273124008,-1365.7248815148953,2356.607995232322,-35.417487656355156,0.9811934570349559
0,95,1,95.1,2.4017771198288433,1921.9185345804972,-1365.842351039863,2357.81597701308,-35.40011768803161,0.9816964103568044
0,95,2,95.2,2.4017771198288433,-2221.8945051149503,-1068.9173229496655,2465.6438175782587,-154.3085491270221,1.0265914339936617
0,95,3,95.3,2.4017771198288433,155.88910944972068,2442.900537360159,2447.869369447557,86.34872820720663,1.0191908937920093
0,96,1,96.1,2.4017771198288433,-2221.559026089244,-1068.5953886685536,2465.201941237733,-154.3119115208914,1.0264074550820144
0,98,1,98.1,2.4017771198288433,1921.7911340298983,-1363.2463782436887,2356.2092119823437,-35.35045653559088,0.9810274202921265
0,98,2,98.2,2.4017771198288433,-2213.1384013067823,-1081.5457992646063,2463.2748322600255,-153.95555231207965,1.0256050871346316
0,98,3,98.3,2.4017771198288433,152.8193806762521,2427.5478330136216,2432.3532318887,86.39786027290432,1.0127306200926902
0,99,1,99.1,2.4017771198288433,1922.3959010073877,-1363.213140936985,2356.6832769452253,-35.3412905796784,0.9812248012060205
