Hour,Line,Enabled,P_loss_kW,Q_loss_kvar
0,l115,True,8.769552475499106,18.261119070527872
0,l1,True,0.0005878567615327483,-0.0003031158486001004
0,l2,True,0.021521038110040535,0.02054630398975132
0,l3,True,6.229669440528029,12.954832664881236
0,l4,True,0.0027181883337070757,0.0017395024369398016
0,l5,True,0.010162016041973402,0.008651326353314288
0,l6,True,0.0034889204024493663,0.0022681908647682577
0,l7,True,4.121902054321719,8.566143379316491
0,l8,True,0.0007593340832436297,-0.00038069630458085156
0,l9,True,0.01935999769144837,0.018505080236329376
0,l10,True,5.926822079801466,12.291309689488676
0,l11,True,0.013111051162079094,0.01117551615352022
0,l12,True,0.012928923477120406,0.012356504515802953
0,l13,True,2.2835586979405487,4.624399937722046
0,l14,True,0.003419896681420141,0.0022233285727625116
0,l15,True,0.000861068700357464,-0.0003709327271881193
0,l16,True,0.00518100218069776,0.0033779725852855335
0,l17,True,0.001208357529564637,-0.0005248190091078868
0,l18,True,0.013917075770499651,0.012881296182978985
0,l20,True,0.004476879223131619,0.002943923517405892
0,l21,True,0.01420026972975029,0.011734993543328529
0,l22,True,0.020367844496555335,0.037693341124573634
0,l23,True,0.015119358439151256,0.012609013186767697
0,l24,True,0.01378876914614375,0.02271991412359057
0,l25,True,0.003537645913367669,0.0038508074400588157
0,l26,True,0.0031602921144731227,0.0021046155567019014
0,l27,True,0.0025490185138395956,0.0025822598470673134
0,l28,True,0.0015756225021614227,0.0004993889187308014
0,l29,True,0.013463267771450774,0.011135867240311199
0,l30,True,0.0028205578294218867,-0.0002165951703027531
0,l31,True,0.003313535706649418,-0.0001783152806419821
0,l32,True,1.1312721661771043e-08,-0.004562417336044739
0,l33,True,0.000525296402254753,-0.0009309847226963939
0,l34,True,0.003107903833457385,0.0026506101800368924
0,l36,True,0.44724469257096644,0.9126701854450512
0,l41,True,0.4472467070631392,0.9126849422932864
0,l43,True,0.3577988100536459,0.7301585521078087
0,l45,True,1.0757176222583111e-08,-0.005695126555142567
0,l52,True,1.5431804261991056,3.179930220735434
0,l53,True,0.9455598570686998,1.9439965956049272
0,l54,True,0.0005458409961843051,-0.005140472118802484
0,l55,True,2.6017803988447996,5.33036511328147
0,l56,True,0.00033409404428307726,-0.005546051630102683
0,l57,True,0.0034729130479099696,0.002256397290957466
0,l58,True,5.478402923999296,11.197572579110915
0,l59,True,0.000853228777034019,-0.00039880011883633416
0,l60,True,7.752818722155801e-09,-0.012476133138415476
0,l61,True,0.09070536830634228,-0.011486903510711272
0,l62,True,0.0475369948002699,-0.015917980315989552
0,l63,True,0.08830541824179818,-0.03523231855996346
0,l64,True,0.0731912386287513,-0.057382425508414596
0,l65,True,0.017917841728627537,-0.06267112200936026
0,l66,True,0.024117335508330142,0.023266829094714923
0,l68,True,0.44400951228945634,0.9008116851236846
0,l69,True,0.02302098473293154,0.021714053362338746
0,l70,True,0.009789431286124455,0.00800746410940701
0,l71,True,0.0036810293711459965,0.002111084191781629
0,l72,True,0.06938870714137738,0.06870321289473941
0,l73,True,0.3414501799102727,0.7175687473215803
0,l74,True,0.040499017835129054,0.03897274865435975
0,l75,True,0.010486295117079863,0.008252422010611554
0,l76,True,0.47518312796307144,0.9532541096274217
0,l77,True,0.09138497690501754,0.19361863721010014
0,l78,True,0.12146479338673088,0.2432780110987369
0,l79,True,0.002456966524907153,-8.855031234866643e-05
0,l80,True,0.5944983935391647,1.2087323913631844
0,l81,True,0.226408412548677,0.4601535862639139
0,l82,True,0.3373898482860677,0.6740569210198591
0,l83,True,0.04023463133207406,0.036725894398121454
0,l84,True,0.348710793842245,0.7052743904215458
0,l85,True,0.012579200861007849,0.009899175687010939
0,l86,True,0.049892736590551066,0.09325307288273325
0,l87,True,0.018083739265974147,0.01729742885156884
0,l88,True,0.02289132172574682,0.042906806049213625
0,l89,True,0.02186991968762595,0.02091666025025188
0,l90,True,0.01186174647953885,0.019737960637401557
0,l91,True,0.031487858451491775,0.030118735875439596
0,l92,True,0.003472467999735825,0.00211603414268869
0,l93,True,0.007167118008328544,0.0056405317209428174
0,l94,True,0.002829319613947862,-0.001283000803514614
0,l95,True,0.0013583352685818681,0.00037798039871449874
0,l96,True,0.0027642656745410932,-0.0014842111946018121
0,l97,True,0.0047751290245905695,-0.004173277726404194
0,l98,True,0.0017261297297918646,-0.003875484651351144
0,l99,True,6.383643620402886e-08,-0.020674501470190693
0,l118,True,0.3807693087642547,0.7719558629427774
0,l101,True,0.4188485531663173,0.8491682088299858
0,l105,True,0.4950059480255877,1.00358500677759
0,l108,True,8.028035560861769e-08,-0.025855307781442908
0,l114,True,0.6709264594873239,1.366825490387695
0,l116,True,3.1508286882755927,6.50804397485964
0,l117,True,1.8376847427461762,3.7328972543105627
0,sw1,True,0.00037682723184116187,4.120287485420704e-09
0,sw2,True,0.0001358550742152147,-2.311193384230137e-09
0,sw3,True,3.086314708343707e-05,1.4941906556487084e-10
0,sw4,True,0.00010373699775664136,-3.4662079997360706e-09
0,sw5,True,2.6276500546373427e-05,-2.4212931748479604e-10
0,sw6,True,5.841681305351898e-19,-1.3877787807814457e-20
0,sw7,False,0.0,0.0
0,sw8,True,1.2276249835849739e-06,1.11940607894212e-11
0,sw9,True,2.980071524507366e-05,-9.881623554974795e-10
1,l115,True,7.896703291959944,16.44847483646915
1,l1,True,0.0005215882369157043,-0.00037311065703852364
1,l2,True,0.019163728756779165,0.018151304941427953
1,l3,True,5.614465000099154,11.67947417782346
1,l4,True,0.0024083071816967277,0.0014211227289988527
1,l5,True,0.009078957421257656,0.007546469952898405
1,l6,True,0.0031222692545870815,0.0018911425882251933
1,l7,True,3.7153608367058912,7.723796202162142
1,l8,True,0.0006734644130747256,-0.0004719596160812216
1,l9,True,0.017239653557073326,0.016349208956904476
1,l10,True,5.34600066769903,11.08954969317397
1,l11,True,0.011724566947676067,0.009758080966345005
1,l12,True,0.011496329163324845,0.010900004200560942
1,l13,True,2.0962582797201468,4.244047612823808
1,l14,True,0.003064748752211017,0.0018562924152174675
1,l15,True,0.0007667606098948454,-0.00047351135357303064
1,l16,True,0.004583009343881713,0.0027611169642941602
1,l17,True,0.0010689175030165643,-0.0006760831969354513
1,l18,True,0.012347804789391376,0.011282253511799354
1,l20,True,0.003986662474540935,0.0024365006081588946
1,l21,True,0.011830336682098277,0.009322136047938329
1,l22,True,0.016788466824429634,0.03002536393977425
1,l23,True,0.012413663873125189,0.009848858732426378
1,l24,True,0.011397697055075696,0.01765626609787978
1,l25,True,0.0029277219263185543,0.0024082098191229306
1,l26,True,0.002607974981190637,0.000911506273849227
1,l27,True,0.0021108364354063738,0.0015279186672299573
1,l28,True,0.0012974487087085435,0.00021039548597400425
1,l29,True,0.011148852925220125,0.008772712114723618
1,l30,True,0.0023140938675642246,-0.0014475468051841744
1,l31,True,0.00272053477438385,-0.0016212899558413483
1,l32,True,6.812079820585485e-08,-0.004588581862870834
1,l33,True,0.0004325581348666674,-0.0010343578782299118
1,l34,True,0.0027491941489788587,0.0022841447191858607
1,l36,True,0.41968221924841054,0.8559695245230104
1,l41,True,0.4196841782174888,0.8559838587291014
1,l43,True,0.3357487472358334,0.6847973825234949
1,l45,True,9.201472763769891e-08,-0.005727338264689146
1,l52,True,1.39686134059116,2.8807016182159133
1,l53,True,0.8565345660627937,1.7622436370787617
1,l54,True,0.00048692763886948933,-0.005303253026521967
1,l55,True,2.358971321030287,4.832765428130108
1,l56,True,0.00029676911957404045,-0.005668197345086168
1,l57,True,0.003087445470939201,0.0018592351191309717
1,l58,True,4.971187620635319,10.159730831207533
1,l59,True,0.0007558177847458864,-0.0005041469373650216
1,l60,True,2.2366252620572864e-07,-0.012568686176085874
1,l61,True,0.0809028951233122,-0.016621406892816593
1,l62,True,0.04236862487023609,-0.01867415186225844
1,l63,True,0.07871857011155226,-0.040364358709568476
1,l64,True,0.065159747726153,-0.0620621655482355
1,l65,True,0.015813332592631922,-0.06425372813032663
1,l66,True,0.02168224783660844,0.020787698516731325
1,l68,True,0.41704181586857886,0.8455991899469809
1,l69,True,0.020696994117824944,0.01934364767313673
1,l70,True,0.008801409662315563,0.0069889317947054224
1,l71,True,0.0033095393151725146,0.0017201791065235739
1,l72,True,0.058032454118176244,0.05717757785510912
1,l73,True,0.33910105866446977,0.7096247964662907
1,l74,True,0.033873298196245745,0.03223899615346454
1,l75,True,0.00877116422202016,0.006494049010680101
1,l76,True,0.48422392477840187,0.9722408634868916
1,l77,True,0.08160468322047382,0.17011407459061592
1,l78,True,0.12364886449297774,0.24790386576938908
1,l79,True,0.0020564728981810614,-0.0010787935494517406
1,l80,True,0.60434785023312,1.2282906651050434
1,l81,True,0.22941420776388985,0.4660405999267241
1,l82,True,0.34087375457382585,0.6817525142682717
1,l83,True,0.03365394717637537,0.0300215191563766
1,l84,True,0.3514803567011186,0.7109088484162057
1,l85,True,0.01052224327784279,0.0077902385423276425
