Hour,Microgrid,DER,Type,P_kW,Q_kvar,Rating_kVA
6,MG2,mg2_gen5,Solar,93.7494836589292,-0.0004939688949752964,375.0
6,MG2,mg2_gen3,Battery,-0.0,-0.0,50.0
6,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
6,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
6,MG3,stor42,Battery,-0.0,-0.0,1200.0
6,MG3,gen401,Diesel,-0.0,-0.0,1200.0
6,MG4,stor105,Battery,-0.0,-0.0,1200.0
6,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
7,MG1,mg1_gen1,Solar,56.249736807694575,-0.00024413166050180735,125.0
7,MG1,mg1_gen2,Solar,56.2497365785017,-0.00024372206502039262,125.0
7,MG1,mg1_gen3,Battery,68.39967935416081,-0.00029585830602331956,100.0
7,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
7,MG2,mg2_gen1,Solar,168.7489338036397,-0.0009146081157359731,375.0
7,MG2,mg2_gen5,Solar,168.74889571830334,-0.0009359510692520417,375.0
7,MG2,mg2_gen3,Battery,34.19978109013196,-0.00018718812863858147,50.0
7,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
7,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
7,MG3,stor42,Battery,-0.0,-0.0,1200.0
7,MG3,gen401,Diesel,-0.0,-0.0,1200.0
7,MG4,stor105,Battery,-0.0,-0.0,1200.0
7,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
8,MG1,mg1_gen1,Solar,81.24965848176065,-0.00029345467981875116,125.0
8,MG1,mg1_gen2,Solar,81.2496583643832,-0.00029252331052248337,125.0
8,MG1,mg1_gen3,Battery,98.79958439446511,-0.00035453495043748267,100.0
8,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
8,MG2,mg2_gen1,Solar,243.74860026730408,-0.0011041483557683023,375.0
8,MG2,mg2_gen5,Solar,243.74854819561267,-0.0011271652957930201,375.0
8,MG2,mg2_gen3,Battery,49.399712407958646,-0.00022596703244494163,50.0
8,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
8,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
8,MG3,stor42,Battery,-0.0,-0.0,1200.0
8,MG3,gen401,Diesel,-0.0,-0.0,1200.0
